epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,102.872,0.80104,1.24169,1.14049,0.70522,0.66849,0.85545,0.61336,1.70159,1.30244,1.39811,2.35417e-05,2.35417e-05,2.35417e-05
29,106.386,0.99729,1.52718,1.27173,0.70066,0.67247,0.85551,0.61082,1.67039,1.30965,1.37779,2.40837e-05,2.40837e-05,2.40837e-05
30,109.326,1.26559,2.34973,1.5981,0.70066,0.67247,0.85551,0.61082,1.67039,1.30965,1.37779,2.46022e-05,2.46022e-05,2.46022e-05
31,111.993,0.97959,1.43342,1.29406,0.69189,0.66667,0.85204,0.60885,1.68079,1.34639,1.38375,2.50971e-05,2.50971e-05,2.50971e-05
32,114.524,0.81014,1.26026,1.21396,0.69189,0.66667,0.85204,0.60885,1.68079,1.34639,1.38375,2.55685e-05,2.55685e-05,2.55685e-05
33,117.054,0.78132,1.3187,1.34244,0.67237,0.68913,0.85241,0.60751,1.66628,1.37776,1.37986,2.60163e-05,2.60163e-05,2.60163e-05
34,119.457,1.05737,1.25153,1.31049,0.67237,0.68913,0.85241,0.60751,1.66628,1.37776,1.37986,2.64405e-05,2.64405e-05,2.64405e-05
35,122.349,0.88711,2.1651,1.30325,0.66427,0.7,0.85262,0.59109,1.68127,1.41217,1.388,2.68412e-05,2.68412e-05,2.68412e-05
36,125.323,0.96212,1.4774,1.20113,0.66427,0.7,0.85262,0.59109,1.68127,1.41217,1.388,2.72183e-05,2.72183e-05,2.72183e-05
37,127.724,0.78381,1.11443,1.173,0.64697,0.7,0.85246,0.58363,1.6495,1.44745,1.37018,2.75718e-05,2.75718e-05,2.75718e-05
38,130.057,0.45774,0.70331,0.96921,0.64697,0.7,0.85246,0.58363,1.6495,1.44745,1.37018,2.79018e-05,2.79018e-05,2.79018e-05
39,132.354,0.64939,0.93238,1.02187,0.67392,0.69073,0.85257,0.56179,1.62478,1.47874,1.36472,2.82082e-05,2.82082e-05,2.82082e-05
40,134.587,0.80206,0.83749,1.16672,0.67392,0.69073,0.85257,0.56179,1.62478,1.47874,1.36472,2.84911e-05,2.84911e-05,2.84911e-05
41,136.991,0.75781,0.92628,1.06124,0.68198,0.66537,0.76929,0.48791,1.59524,1.4896,1.35676,2.87504e-05,2.87504e-05,2.87504e-05
42,139.298,0.88057,1.88322,1.2776,0.68198,0.66537,0.76929,0.48791,1.59524,1.4896,1.35676,2.89861e-05,2.89861e-05,2.89861e-05
43,141.718,0.84666,1.22094,1.22833,0.67828,0.65,0.76233,0.47306,1.6219,1.52905,1.38465,2.91983e-05,2.91983e-05,2.91983e-05
44,144.114,1.07454,0.98546,1.45168,0.67828,0.65,0.76233,0.47306,1.6219,1.52905,1.38465,2.93869e-05,2.93869e-05,2.93869e-05
45,146.608,0.61309,0.92525,0.99469,0.69154,0.65,0.76251,0.47229,1.60967,1.54701,1.38003,2.9552e-05,2.9552e-05,2.9552e-05
46,149.087,0.81974,0.996,1.26956,0.69154,0.65,0.76251,0.47229,1.60967,1.54701,1.38003,2.96935e-05,2.96935e-05,2.96935e-05
47,151.498,0.8855,1.46297,1.36123,0.73624,0.65,0.7323,0.43907,1.62313,1.60215,1.38729,2.98114e-05,2.98114e-05,2.98114e-05
48,153.913,0.78775,1.63508,1.17236,0.73624,0.65,0.7323,0.43907,1.62313,1.60215,1.38729,2.99058e-05,2.99058e-05,2.99058e-05
49,156.253,0.67227,0.72156,1.24492,0.68393,0.65018,0.70529,0.41424,1.62451,1.62161,1.38832,2.99766e-05,2.99766e-05,2.99766e-05
50,158.509,0.80369,0.81101,1.29484,0.68393,0.65018,0.70529,0.41424,1.62451,1.62161,1.38832,3.00238e-05,3.00238e-05,3.00238e-05
51,160.809,0.85836,0.83929,1.15566,0.65903,0.6748,0.69821,0.40628,1.59216,1.63429,1.38089,3.00475e-05,3.00475e-05,3.00475e-05
52,163.128,0.9737,0.9671,1.34765,0.65903,0.6748,0.69821,0.40628,1.59216,1.63429,1.38089,3.00476e-05,3.00476e-05,3.00476e-05
53,165.632,0.64658,0.69985,1.17896,0.65903,0.6748,0.69821,0.40628,1.59216,1.63429,1.38089,3.00242e-05,3.00242e-05,3.00242e-05
54,168.043,0.78496,0.90271,1.23215,0.69128,0.67062,0.69636,0.4082,1.57676,1.67528,1.38138,2.99772e-05,2.99772e-05,2.99772e-05
55,170.267,0.80034,0.95298,1.12092,0.69128,0.67062,0.69636,0.4082,1.57676,1.67528,1.38138,2.99066e-05,2.99066e-05,2.99066e-05
56,172.46,1.09872,1.44405,1.58811,0.69128,0.67062,0.69636,0.4082,1.57676,1.67528,1.38138,2.98125e-05,2.98125e-05,2.98125e-05
57,174.797,0.94385,1.49888,1.3743,0.72281,0.50378,0.69284,0.38717,1.58506,1.7068,1.39153,2.96948e-05,2.96948e-05,2.96948e-05
58,176.982,0.86454,1.45424,1.26642,0.72281,0.50378,0.69284,0.38717,1.58506,1.7068,1.39153,2.95535e-05,2.95535e-05,2.95535e-05
59,179.251,0.78225,0.82763,1.15415,0.72281,0.50378,0.69284,0.38717,1.58506,1.7068,1.39153,2.93887e-05,2.93887e-05,2.93887e-05
60,181.858,0.99694,0.77659,1.54597,0.85554,0.47996,0.67795,0.37421,1.61021,1.77411,1.40793,2.92003e-05,2.92003e-05,2.92003e-05
61,184.226,0.63462,0.68033,1.06304,0.85554,0.47996,0.67795,0.37421,1.61021,1.77411,1.40793,2.89884e-05,2.89884e-05,2.89884e-05
62,186.758,0.70191,0.89363,1.0457,0.85554,0.47996,0.67795,0.37421,1.61021,1.77411,1.40793,2.87529e-05,2.87529e-05,2.87529e-05
63,189.732,0.77042,0.82309,1.15436,0.85569,0.47659,0.67797,0.3742,1.64206,1.85479,1.42407,2.84938e-05,2.84938e-05,2.84938e-05
64,192.225,0.62528,0.65258,1.06664,0.85569,0.47659,0.67797,0.3742,1.64206,1.85479,1.42407,2.82112e-05,2.82112e-05,2.82112e-05
65,194.959,0.66148,0.68563,1.2166,0.85569,0.47659,0.67797,0.3742,1.64206,1.85479,1.42407,2.7905e-05,2.7905e-05,2.7905e-05
66,198.072,0.68414,0.91552,1.08091,0.85192,0.47712,0.67713,0.37589,1.70933,1.91188,1.44788,2.75753e-05,2.75753e-05,2.75753e-05
67,201.003,0.73692,1.11076,1.102,0.85192,0.47712,0.67713,0.37589,1.70933,1.91188,1.44788,2.7222e-05,2.7222e-05,2.7222e-05
68,203.694,1.04203,1.77562,1.40613,0.85192,0.47712,0.67713,0.37589,1.70933,1.91188,1.44788,2.68451e-05,2.68451e-05,2.68451e-05
69,206.376,0.64116,1.10002,1.12459,0.84144,0.48617,0.56784,0.28833,1.65477,1.9524,1.41961,2.64447e-05,2.64447e-05,2.64447e-05
70,208.972,0.97833,0.86461,1.43,0.84144,0.48617,0.56784,0.28833,1.65477,1.9524,1.41961,2.60207e-05,2.60207e-05,2.60207e-05
71,211.408,0.94749,1.28636,1.31534,0.84144,0.48617,0.56784,0.28833,1.65477,1.9524,1.41961,2.55731e-05,2.55731e-05,2.55731e-05
72,213.861,0.59499,0.63816,1.07504,0.84025,0.48529,0.54675,0.27606,1.72308,1.99987,1.44362,2.5102e-05,2.5102e-05,2.5102e-05
73,216.172,0.68878,0.90641,1.04433,0.84025,0.48529,0.54675,0.27606,1.72308,1.99987,1.44362,2.46073e-05,2.46073e-05,2.46073e-05
74,218.408,0.72129,0.59487,1.21718,0.84025,0.48529,0.54675,0.27606,1.72308,1.99987,1.44362,2.40891e-05,2.40891e-05,2.40891e-05
75,220.823,0.72992,0.55225,1.1407,0.84007,0.48264,0.54724,0.26977,1.77051,1.9958,1.46199,2.35472e-05,2.35472e-05,2.35472e-05
76,223.971,0.63615,0.73269,1.12924,0.84007,0.48264,0.54724,0.26977,1.77051,1.9958,1.46199,2.29819e-05,2.29819e-05,2.29819e-05
77,226.843,0.68,0.6577,1.11162,0.84007,0.48264,0.54724,0.26977,1.77051,1.9958,1.46199,2.23929e-05,2.23929e-05,2.23929e-05
78,229.9,0.87557,1.00482,1.18596,0.83348,0.48822,0.54413,0.26803,1.73536,2.01277,1.44686,2.17805e-05,2.17805e-05,2.17805e-05
79,232.536,0.5889,0.7475,1.0841,0.83348,0.48822,0.54413,0.26803,1.73536,2.01277,1.44686,2.11444e-05,2.11444e-05,2.11444e-05
80,235.517,0.70242,0.73226,1.16331,0.83348,0.48822,0.54413,0.26803,1.73536,2.01277,1.44686,2.04848e-05,2.04848e-05,2.04848e-05
81,238.075,0.51133,0.50269,0.97378,0.84216,0.48023,0.53431,0.26591,1.7688,2.04876,1.47202,1.98016e-05,1.98016e-05,1.98016e-05
82,240.801,0.80794,0.66978,1.14379,0.84216,0.48023,0.53431,0.26591,1.7688,2.04876,1.47202,1.90949e-05,1.90949e-05,1.90949e-05
83,243.711,0.76656,0.82109,1.19673,0.84216,0.48023,0.53431,0.26591,1.7688,2.04876,1.47202,1.83646e-05,1.83646e-05,1.83646e-05
84,246.495,0.78319,0.56689,1.20415,0.84022,0.48454,0.54019,0.26654,1.8238,2.07401,1.50055,1.76107e-05,1.76107e-05,1.76107e-05
85,249.471,0.56939,0.7344,1.10942,0.84022,0.48454,0.54019,0.26654,1.8238,2.07401,1.50055,1.68333e-05,1.68333e-05,1.68333e-05
86,252.523,0.73367,0.66423,1.09947,0.84022,0.48454,0.54019,0.26654,1.8238,2.07401,1.50055,1.60323e-05,1.60323e-05,1.60323e-05
87,256.604,0.75062,0.78846,1.05099,0.84022,0.48454,0.54019,0.26654,1.8238,2.07401,1.50055,1.52077e-05,1.52077e-05,1.52077e-05
88,260.564,0.79128,0.86436,1.38088,0.83875,0.48396,0.53434,0.28444,1.83366,2.06506,1.5052,1.43596e-05,1.43596e-05,1.43596e-05
89,263.125,0.99637,0.93274,1.4831,0.83875,0.48396,0.53434,0.28444,1.83366,2.06506,1.5052,1.34879e-05,1.34879e-05,1.34879e-05
90,265.752,0.65463,0.63942,1.01345,0.83875,0.48396,0.53434,0.28444,1.83366,2.06506,1.5052,1.25927e-05,1.25927e-05,1.25927e-05
91,268.301,0.46041,0.51703,0.88987,0.83875,0.48396,0.53434,0.28444,1.83366,2.06506,1.5052,1.16739e-05,1.16739e-05,1.16739e-05
92,270.906,0.71315,0.70064,0.99469,0.83573,0.48533,0.53533,0.2778,1.83206,2.02349,1.48808,1.07315e-05,1.07315e-05,1.07315e-05
93,273.557,0.47647,0.45691,0.98603,0.83573,0.48533,0.53533,0.2778,1.83206,2.02349,1.48808,9.76562e-06,9.76562e-06,9.76562e-06
94,276.095,0.54439,0.43425,0.88554,0.83573,0.48533,0.53533,0.2778,1.83206,2.02349,1.48808,8.77613e-06,8.77613e-06,8.77613e-06
95,278.582,0.43524,0.45158,0.89786,0.83573,0.48533,0.53533,0.2778,1.83206,2.02349,1.48808,7.76308e-06,7.76308e-06,7.76308e-06
96,281.119,0.43956,0.50771,0.96137,0.83987,0.46581,0.55519,0.3048,1.74845,1.95214,1.43703,6.72648e-06,6.72648e-06,6.72648e-06
97,283.855,0.68957,0.60442,1.04872,0.83987,0.46581,0.55519,0.3048,1.74845,1.95214,1.43703,5.6663e-06,5.6663e-06,5.6663e-06
98,286.438,0.51678,0.48685,0.90956,0.83987,0.46581,0.55519,0.3048,1.74845,1.95214,1.43703,4.58257e-06,4.58257e-06,4.58257e-06
99,288.96,0.4755,0.46015,0.90908,0.83987,0.46581,0.55519,0.3048,1.74845,1.95214,1.43703,3.47528e-06,3.47528e-06,3.47528e-06
100,291.651,0.55752,0.49151,1.00474,0.56186,0.50917,0.6075,0.34369,1.70068,1.87022,1.40857,2.34442e-06,2.34442e-06,2.34442e-06
