epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.895,1.33611,2.86921,1.64364,0.57453,0.85,0.87817,0.63489,1.64738,1.07035,1.38135,0,0,0
2,20.3612,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64478,1.06028,1.37173,1.17822e-06,1.17822e-06,1.17822e-06
3,23.2234,1.16009,3.63341,1.57315,0.55956,0.85,0.85083,0.63276,1.66527,1.06101,1.37731,2.33288e-06,2.33288e-06,2.33288e-06
4,25.8966,1.27724,2.74018,1.38866,0.56026,0.85,0.84952,0.61586,1.65912,1.05348,1.37599,3.46397e-06,3.46397e-06,3.46397e-06
5,28.87,1.37198,3.08503,1.72634,0.5651,0.85,0.85526,0.63771,1.65728,1.04075,1.36954,4.5715e-06,4.5715e-06,4.5715e-06
6,31.9957,1.56189,4.11418,1.96485,0.54414,0.85,0.8936,0.63825,1.68403,1.05837,1.37583,5.65548e-06,5.65548e-06,5.65548e-06
7,35.6762,1.13976,1.91306,1.41952,0.53944,0.85173,0.89406,0.64255,1.68267,1.05915,1.37528,6.71588e-06,6.71588e-06,6.71588e-06
8,38.2122,1.37612,4.01879,1.61443,0.55029,0.85949,0.85911,0.61257,1.64201,1.05718,1.35113,7.75273e-06,7.75273e-06,7.75273e-06
9,41.5261,1.11618,2.70407,1.41099,0.56884,0.86386,0.81827,0.59503,1.6635,1.05919,1.36163,8.76602e-06,8.76602e-06,8.76602e-06
10,44.085,1.18655,3.4473,1.59516,0.57996,0.86406,0.81417,0.59502,1.65531,1.05637,1.35492,9.75574e-06,9.75574e-06,9.75574e-06
11,46.584,1.20761,2.46919,1.45278,0.59064,0.8637,0.85595,0.61995,1.65247,1.063,1.35423,1.07219e-05,1.07219e-05,1.07219e-05
12,49.2136,0.9914,2.00612,1.36598,0.58565,0.86399,0.85561,0.62083,1.66152,1.07352,1.36184,1.16645e-05,1.16645e-05,1.16645e-05
13,51.63,0.87115,2.2381,1.132,0.59052,0.86667,0.85501,0.62082,1.64835,1.07325,1.35181,1.25835e-05,1.25835e-05,1.25835e-05
14,55.4055,1.08319,2.18872,1.48359,0.59792,0.86667,0.88803,0.62731,1.65165,1.09377,1.35623,1.3479e-05,1.3479e-05,1.3479e-05
15,58.6623,0.92888,1.64807,1.12293,0.60723,0.86667,0.88802,0.62731,1.65073,1.10136,1.35734,1.43509e-05,1.43509e-05,1.43509e-05
16,61.5776,1.22329,2.48045,1.62352,0.61054,0.86667,0.87512,0.62676,1.66234,1.12287,1.36696,1.51993e-05,1.51993e-05,1.51993e-05
17,64.2401,0.84442,1.78452,1.19115,0.62052,0.7,0.87291,0.62795,1.66147,1.13323,1.3699,1.60241e-05,1.60241e-05,1.60241e-05
18,67.0207,1.1567,1.55189,1.36044,0.62052,0.7,0.87291,0.62795,1.66147,1.13323,1.3699,1.68253e-05,1.68253e-05,1.68253e-05
19,72.372,0.97843,1.90562,1.1355,0.7748,0.65,0.86188,0.61114,1.66857,1.17682,1.37891,1.7603e-05,1.7603e-05,1.7603e-05
20,75.2323,0.89713,1.53575,1.21098,0.7748,0.65,0.86188,0.61114,1.66857,1.17682,1.37891,1.83571e-05,1.83571e-05,1.83571e-05
21,78.8762,1.29226,2.49842,1.71345,0.77117,0.65,0.85531,0.6099,1.68123,1.2121,1.38577,1.90876e-05,1.90876e-05,1.90876e-05
22,81.7703,1.08324,2.33903,1.51911,0.77117,0.65,0.85531,0.6099,1.68123,1.2121,1.38577,1.97946e-05,1.97946e-05,1.97946e-05
23,85.2271,1.05868,1.82063,1.47224,0.74586,0.65,0.85514,0.6192,1.68027,1.23181,1.3835,2.0478e-05,2.0478e-05,2.0478e-05
24,88.4162,1.12417,2.21397,1.54032,0.74586,0.65,0.85514,0.6192,1.68027,1.23181,1.3835,2.11379e-05,2.11379e-05,2.11379e-05
25,91.8329,0.83464,1.46997,1.21033,0.71047,0.6547,0.85534,0.61104,1.68067,1.27377,1.38322,2.17741e-05,2.17741e-05,2.17741e-05
26,95.1097,1.15294,1.85952,1.45071,0.71047,0.6547,0.85534,0.61104,1.68067,1.27377,1.38322,2.23869e-05,2.23869e-05,2.23869e-05
27,99.0796,0.91842,1.67097,1.39783,0.70522,0.66849,0.85545,0.61336,1.70159,1.30244,1.39811,2.2976e-05,2.2976e-05,2.2976e-05
